filepath,run_dt,line_num_tot,vintage,prod_wine_name,geo_int,vol,price,section_path,page_number,wine_type,origin,varietal,pub_date
/Users/jonathan/jonathan/projects/wine_wiki/wine_data_mining/orc_airflow/orc_airflow/resources/bennelong_wine_list.pdf,2025-10-15 10:49:33.426,146,NV,Vouette et Sorbée ‘Blanc d’Argile’,Extra-Brut (disg 2022),750,550,Sparkling Wine/Champagne/Côte des Bar (Aube),6,Sparkling Wine,Côte des Bar (Aube),Champagne,2025-07-12 00:00:00
/Users/jonathan/jonathan/projects/wine_wiki/wine_data_mining/orc_airflow/orc_airflow/resources/bennelong_wine_list.pdf,2025-10-15 10:49:33.426,147,NV,Vouette et Sorbée ‘ Fidèle ’,Brut Nature (disg 2022),750,465,Sparkling Wine/Champagne/Côte des Bar (Aube),6,Sparkling Wine,Côte des Bar (Aube),Champagne,2025-07-12 00:00:00
/Users/jonathan/jonathan/projects/wine_wiki/wine_data_mining/orc_airflow/orc_airflow/resources/bennelong_wine_list.pdf,2025-10-15 10:49:33.426,148,2020,Cedric Bouchard ‘Les Ursules’,Extra-Brut (disg 2024),750,1200,Sparkling Wine/Champagne/Côte des Bar (Aube),6,Sparkling Wine,Côte des Bar (Aube),Champagne,2025-07-12 00:00:00
/Users/jonathan/jonathan/projects/wine_wiki/wine_data_mining/orc_airflow/orc_airflow/resources/bennelong_wine_list.pdf,2025-10-15 10:49:33.426,149,2022,Cedric Bouchard ‘Val Vilaine’,Extra-Brut (disg 2024),750,980,Sparkling Wine/Champagne/Côte des Bar (Aube),6,Sparkling Wine,Côte des Bar (Aube),Champagne,2025-07-12 00:00:00
/Users/jonathan/jonathan/projects/wine_wiki/wine_data_mining/orc_airflow/orc_airflow/resources/bennelong_wine_list.pdf,2025-10-15 10:49:33.426,151,2012,Pascal Agrapart ‘Expérience’,Brut Nature (disg 2018) Avize,750,1300,Sparkling Wine/Champagne/Côte des Blancs,6,Sparkling Wine,Côte des Blancs,Champagne,2025-07-12 00:00:00
/Users/jonathan/jonathan/projects/wine_wiki/wine_data_mining/orc_airflow/orc_airflow/resources/bennelong_wine_list.pdf,2025-10-15 10:49:33.426,152,NV,Agrapart & Fils ‘Terroirs’,Extra-Brut (disg 2024) Avize,750,580,Sparkling Wine/Champagne/Côte des Blancs,6,Sparkling Wine,Côte des Blancs,Champagne,2025-07-12 00:00:00
/Users/jonathan/jonathan/projects/wine_wiki/wine_data_mining/orc_airflow/orc_airflow/resources/bennelong_wine_list.pdf,2025-10-15 10:49:33.426,153,NV,Jacques Selosse ‘Substance’,Brut (disg 2017) Avize,750,1850,Sparkling Wine/Champagne/Côte des Blancs,6,Sparkling Wine,Côte des Blancs,Champagne,2025-07-12 00:00:00
/Users/jonathan/jonathan/projects/wine_wiki/wine_data_mining/orc_airflow/orc_airflow/resources/bennelong_wine_list.pdf,2025-10-15 10:49:33.426,154,NV,Jacques Selosse ‘Substance’,Brut (disg 2020) Avize,750,1650,Sparkling Wine/Champagne/Côte des Blancs,6,Sparkling Wine,Côte des Blancs,Champagne,2025-07-12 00:00:00
/Users/jonathan/jonathan/projects/wine_wiki/wine_data_mining/orc_airflow/orc_airflow/resources/bennelong_wine_list.pdf,2025-10-15 10:49:33.426,155,NV,Jacques Selosse ‘Rose’,Brut (disg 2024),750,1320,Sparkling Wine/Champagne/Côte des Blancs,6,Sparkling Wine,Côte des Blancs,Champagne,2025-07-12 00:00:00
/Users/jonathan/jonathan/projects/wine_wiki/wine_data_mining/orc_airflow/orc_airflow/resources/bennelong_wine_list.pdf,2025-10-15 10:49:33.426,156,2016,Pascal Agrapart ‘L’Avizoise’,Extra-Brut (disg 2021) Avize,750,915,Sparkling Wine/Champagne/Côte des Blancs,6,Sparkling Wine,Côte des Blancs,Champagne,2025-07-12 00:00:00
/Users/jonathan/jonathan/projects/wine_wiki/wine_data_mining/orc_airflow/orc_airflow/resources/bennelong_wine_list.pdf,2025-10-15 10:49:33.426,157,2016,Pascal Agrapart ‘Minéral’,Extra-Brut (disg 2021) Avize,750,720,Sparkling Wine/Champagne/Côte des Blancs,6,Sparkling Wine,Côte des Blancs,Champagne,2025-07-12 00:00:00
/Users/jonathan/jonathan/projects/wine_wiki/wine_data_mining/orc_airflow/orc_airflow/resources/bennelong_wine_list.pdf,2025-10-15 10:49:33.426,158,NV,Ulysse Collin ‘Les Pierrières’,Extra-Brut (disg 2024) Congy,750,800,Sparkling Wine/Champagne/Côte des Blancs,6,Sparkling Wine,Côte des Blancs,Champagne,2025-07-12 00:00:00
/Users/jonathan/jonathan/projects/wine_wiki/wine_data_mining/orc_airflow/orc_airflow/resources/bennelong_wine_list.pdf,2025-10-15 10:49:33.426,159,2008,Krug Vintage ‘Clos du Mesnil’,Brut (disg 2019) Le,750,4620,Sparkling Wine/Champagne/Côte des Blancs,6,Sparkling Wine,Côte des Blancs,Champagne,2025-07-12 00:00:00
/Users/jonathan/jonathan/projects/wine_wiki/wine_data_mining/orc_airflow/orc_airflow/resources/bennelong_wine_list.pdf,2025-10-15 10:49:33.426,160,NV,Pertois- Moriset ‘Les Quatre Terroirs’,Brut (disg 2023) Le,750,400,Sparkling Wine/Champagne/Côte des Blancs,6,Sparkling Wine,Côte des Blancs,Champagne,2025-07-12 00:00:00
/Users/jonathan/jonathan/projects/wine_wiki/wine_data_mining/orc_airflow/orc_airflow/resources/bennelong_wine_list.pdf,2025-10-15 10:49:33.426,161,NV,Jérôme Prévost ‘Grand Cru’,Extra-Brut (disg 2023),750,1300,Sparkling Wine/Champagne/Côte des Blancs,6,Sparkling Wine,Côte des Blancs,Champagne,2025-07-12 00:00:00
/Users/jonathan/jonathan/projects/wine_wiki/wine_data_mining/orc_airflow/orc_airflow/resources/bennelong_wine_list.pdf,2025-10-15 10:49:33.426,162,NV,Larmandier- Bernier ‘Latitude’,Extra-Brut (disg 2024) Vertus,750,380,Sparkling Wine/Champagne/Côte des Blancs,6,Sparkling Wine,Côte des Blancs,Champagne,2025-07-12 00:00:00
/Users/jonathan/jonathan/projects/wine_wiki/wine_data_mining/orc_airflow/orc_airflow/resources/bennelong_wine_list.pdf,2025-10-15 10:49:33.426,164,NV,Ulysse Collin ‘Les Maillons’,Extra-Brut (disg 2022),750,720,Sparkling Wine/Champagne/Côte de Sézanne,6,Sparkling Wine,Côte de Sézanne,Champagne,2025-07-12 00:00:00
